kringle,94,93.7,93.94,92.98,93.92,91.41,91.81,91.62,91.8,91.37,90.21,,,,,,,,,,,,,
cryst,50,50.2,53.67,54.41,55.18,60.58,63.74,58.11,57.01,55.31,57.69,,,,,,,,,,,,,
DEATH,61.4,71.96,68.97,68.6,71.09,71.57,73.37,75.75,76.18,74.49,72.41,,,,,,,,,,,,,
cah,88.7,87.45,86.7,86.51,86.82,86.49,86.8,88.15,87.24,86.52,86.65,86.6,,,,,,,,,,,,
mmp,98.8,98.67,98.35,98.51,98.41,97.9,97.98,95.33,97.62,95.58,94.96,97.78,,,,,,,,,,,,
rub,99.2,99.2,99.2,99.2,99.2,99.2,99.44,99.36,98.71,99.04,98.55,98.79,,,,,,,,,,,,
ghf10,91.1,90.22,90.93,90.28,90.28,89.06,91.72,90.82,91.31,90.84,91.2,91.03,90.4,,,,,,,,,,,
tgfb,90.3,89.71,88.47,88.67,88.35,87.84,88.22,89.43,90.08,87.73,88.39,88.38,89.14,,,,,,,,,,,
sodcu,90.9,90.8,91.51,91.13,90.95,90.4,89.77,88.73,87.35,86.96,87.78,88.77,88.23,87.42,86.88,,,,,,,,,
KAS,88.3,86.27,87,87.25,86.99,87.05,86.94,86.76,86.93,86.99,86.93,86.63,86.34,86.3,85.85,,,,,,,,,
DMRL_synthase,93.7,93.61,93.37,93.2,93.31,93.25,93.79,93.81,93.17,93.13,93.35,93.08,93.14,92.59,93.03,,,,,,,,,
tms,97.2,96.99,96.8,96.44,96.41,95.24,94.35,94.53,94.3,94.17,93.76,92.5,93.55,92.47,91.99,,,,,,,,,
GEL,63.7,67.62,64.05,67.83,69.39,69.39,67.81,67.55,66.48,67,65.63,63.42,65.8,65.66,65.3,,,,,,,,,
kunitz,98.9,97.65,98.62,97.6,97.9,97.3,95.32,94.83,93.56,93.61,93.22,93.08,92.11,91.38,89.26,,,,,,,,,
Sulfotransfer,71,73.24,73.26,73.06,72.91,73.49,74.21,74.4,72.71,72.51,72.27,71.64,72.82,70.49,71.33,,,,,,,,,
mofe,81.6,81.85,84.15,84.85,87.84,86.42,85.76,85.92,83.69,83.92,83.73,84.26,84.17,82.17,82.63,81.03,,,,,,,,
Ald_Xan_dh_2,87.9,86.57,87.1,85.76,85.53,85.44,85.04,85.48,84.89,84.86,84.74,84.69,84.73,84.22,84.31,84.43,,,,,,,,
ghf5,58.02,52.66,53.69,56.57,54.8,60.2,60.69,64.08,62.94,64.04,62.52,61.27,62.69,61.61,61.23,59.68,,,,,,,,
phc,95.6,96.08,95.83,95.83,95.65,96.05,96.91,96.75,96.03,96.21,95.49,94.96,95.43,95.43,95.31,95.13,,,,,,,,
aadh,81.8,83.55,83.72,84.89,83.63,86.16,84.69,83.05,82.13,82.2,82.28,82.88,82.18,82.3,81.73,82.26,83,,,,,,,
annexin,100,100,100,100,100,100,99.98,100,100,99.97,100,100,99.95,100,99.96,99.95,99.9,,,,,,,
serpin,94.8,94.48,94.04,93.74,93.6,93.32,93.49,91.31,91.21,90.68,90.22,90.3,90.28,89.26,89.19,90.42,90.07,,,,,,,
cytb,87,86.72,88.5,89.38,85.9,84.42,81.33,79.77,77.06,78.57,76.33,76.05,78.8,76.3,71.63,72.92,70.95,,,,,,,
asp,90.7,90.1,90.06,87.98,88.71,84.65,87.62,85.64,85.57,84.66,82.85,82.16,82.25,83.26,79.83,79.33,78.92,,,,,,,
oxidored_q6,98.3,98.45,98.41,98.34,98.36,98.44,98.48,98.3,98.24,97.8,97.85,97.88,97.68,98.29,97.78,97.6,97.86,,,,,,,
hpr,100,100,100,99.91,100,99.64,99.46,99.37,99.33,99.14,99.01,98.63,98.81,98.45,97.81,98.67,98.38,,,,,,,
hormone_rec,67.7,72.7,68.35,70.48,67.41,65.5,67.02,66.76,66.13,64.11,63.87,62.36,59.13,61.59,60.93,60.16,59.31,,,,,,,
hr,100,99.71,99.16,99.39,98.51,98.95,98.62,98.45,95.72,96.2,96.44,94.83,94.43,95.1,95.33,95.58,94.19,,,,,,,
tim,98.4,98.08,97.46,97.44,96.41,97.04,96.87,97.18,96.4,96.41,96.82,96.66,95.95,95.59,95.45,94.9,94.46,,,,,,,
glob,96.9,96.5,96.05,95.71,94.78,93.2,94.11,93.84,94.42,94.37,94.13,94.96,94.29,94.39,94.68,93.61,93.71,,,,,,,
ace,82.4,82.89,81.19,82.51,81.15,81.7,81.2,82.04,82.45,81.27,81.79,80.62,79.63,80.09,80.31,78.43,76.97,,,,,,,
cys,92.1,91.34,91.04,89.15,86.84,88.59,88.88,86.74,86.89,85.9,84.01,83.89,83.33,83.03,81.41,81.34,80.23,79.12,,,,,,
ghf1,93.5,92.99,92.9,91.58,91.05,91.22,90.81,91.22,91.24,90.85,90.36,89.84,88.99,89.33,88.86,88.47,88.59,87.88,,,,,,
sodfe,89.4,89.15,90.27,90.37,89.69,88.89,89.56,88.7,87.38,86.75,87.66,87.03,87.38,88.67,87.82,87.6,86.43,85.96,,,,,,
peroxidase,89.7,86.79,87.22,87.4,86.84,87.6,89.4,88.6,85.21,84.65,86.77,84.24,84.36,85.38,84.67,86.15,85.53,85.32,,,,,,
uce,93,92.5,92.58,92.03,91.87,90.54,89.81,88.12,88.6,86.21,87.03,85.35,85.18,86.04,82.42,85.64,81.45,79.51,,,,,,
flav,86.4,87.05,86.24,85.9,85,84.66,80.99,77.86,77.14,75.59,75.63,77.63,79.76,77.25,76.24,76.68,75.56,76.3,,,,,,
HMG_box,95.7,93.91,94.99,93.44,96.29,96.73,96.98,96.6,95.65,94.55,95.55,93.2,93.59,94.98,93.73,92.49,92.16,88.94,,,,,,
OTCace,94.2,94.82,94.71,95.95,95.92,95.19,95.41,95.07,95.05,95.06,94.61,94.35,95.1,94.56,93.89,94.23,93.77,93.37,,,,,,
msb,85.5,86.95,87.37,85.79,85.42,86.24,84.8,84.88,86.61,85.21,83.44,85.35,81.76,83.06,83.53,81.84,80.29,76.7,,,,,,
icd,92.1,93.51,93.88,94.02,94.26,94.8,94.81,94.89,93.83,94.22,94.28,92.91,93.88,93.07,93.25,93.09,93.17,93.05,92.27,,,,,
proteasome,82.7,83.44,82.65,84.27,83.87,86.86,85.64,84.69,83.52,84.15,82.1,82.49,82.42,80.39,80.8,80.68,80.34,78.79,79.02,,,,,
cyclo,89,89.95,89.99,88.64,88.33,86.38,85.56,83.72,82.57,83.14,83.5,82.46,80.58,81.09,80.2,79.95,77.63,75.64,75.77,,,,,
LIM,98.5,98.44,98.38,98.5,98.26,98.26,98.08,98.01,98.19,98.08,98.11,97.08,96.72,96.61,96.99,96.74,96.15,96.4,97.21,,,,,
HLH,94.5,93.64,93.28,92.89,92.45,93.21,92.8,92.96,90.95,92.04,92.33,90.59,90.13,90.51,90.74,91.59,91.53,90.71,90.95,,,,,
ldh,89.1,88.92,88.97,89.92,89.4,88.6,88.67,87.51,87.93,87.66,87.85,87.76,87.6,87.59,87.5,87.42,87,87.26,86.73,,,,,
subt,79.4,78.89,78.6,77.41,75.65,75.26,74.38,70.74,72.17,71.81,70.99,68.41,70.34,70.03,70.31,68.43,67.02,67.75,65.91,62.53,,,,
int,85.1,81.14,82.99,80.31,83.7,79.76,73.29,78.67,79.11,73.76,74.31,71.88,69.92,67.67,68.21,66.83,64.24,61.93,61.47,56.95,,,,
lyase_1,83.1,82.3,83.87,85.05,85.31,85.36,85.68,85.8,85.02,86.04,85.19,85.65,85.94,85.09,85.64,84.73,85.44,85.19,84.92,84.89,,,,
gpdh,95.7,95.57,95.44,94.99,94.75,94.24,94.34,93.95,93.59,93.84,93.76,93.77,93.58,93.64,93.7,93.56,93.24,92.87,93.02,92.53,,,,
egf,72.3,73.86,73.96,75.99,78.12,77.1,72.77,69.88,68.84,69.82,72.42,71.57,68.15,72.22,73.89,71.33,71.36,68.03,65.49,69.15,,,,
blm,96.4,96.41,97.22,96.86,96.74,94,89.67,91.69,84.19,78.51,90.65,84.32,91.59,89.76,91.22,96.47,94.22,97.2,96.46,85.89,,,,
gluts,92.3,92.28,92.28,92.23,92.16,87.9,89.14,87.19,87.86,86.16,87.17,90.01,88.93,86.83,86.16,87.04,85.22,86.67,85.45,87.09,82.96,,,
myb_DNA-binding,94.4,94.08,94.52,93.52,94.12,91.78,92.72,90.56,88.8,89.4,87.04,87.56,90.8,86.01,87.56,88.52,86.5,84,84.82,80.4,81.23,,,
tRNA-synt_2b,36.2,42.4,49.42,53.24,51.88,54.98,55.03,47.86,51.83,50.53,50.14,51.44,53.36,49.71,45.35,46.73,46.75,47.03,43.29,47.87,44.44,,,
biotin_lipoyl,91.2,93.49,93.55,94.15,93.21,92.3,91.84,92.42,92.03,92.51,93.85,92.74,93.75,92.68,91.99,92.44,93.24,91.78,91.52,92.38,93.07,,,
hom,95.8,96.35,94.98,96.31,95.79,95.17,96.48,96.12,94.32,95.29,92.97,92.58,92.53,94.62,92.78,93.7,94.33,92.08,92.35,90.22,90.13,,,
ghf13,69.2,66.48,65.5,62.08,60.72,63.36,65.59,64.72,63.88,63.09,63.08,64.65,65.28,64.19,64.4,63.88,62.53,62.71,61.45,60.98,60.8,,,
aldosered,92.3,92.66,92.95,91.64,91.98,92.21,92.48,92.29,91.77,90.97,90.73,90.29,89.77,88.41,88.4,87.77,86.31,85.66,85.24,82.01,79.43,,,
hla,100,100,100,100,100,100,100,99.9,100,100,100,100,99.97,100,99.98,99.97,99.97,100,99.88,99.94,99.42,,,
Rhodanese,60.73,61.34,55.95,61.9,64.5,63.93,63.54,60.14,58.92,60.59,61.87,57.74,56.79,56.96,56.59,56.92,55.49,55.89,55.12,51.62,48.12,,,
PDZ,79.3,79.04,77.36,77.7,80.05,79.96,81.31,77.4,74.91,75.72,76.69,78.56,78.51,78.04,78.68,77.76,76.74,76.43,75.17,78.38,73.73,,,
blmb,59.6,56.47,60.98,57.61,63.15,57.71,56.23,54.81,59.28,58.13,55.14,55.6,55.24,58.58,57.56,55.82,51.42,53.1,50.23,46.33,43.92,40.79,,
rhv,84.4,83.4,83.48,83.1,80.81,83.4,83.92,83.26,83.53,83.58,84.1,83.93,83.92,82.84,83.66,83.16,82.76,82.15,82.38,83.41,82.75,81.54,,
p450,71.7,70.03,72.08,69.81,68.77,71.42,70.59,70.24,68.82,70.05,70.37,70.28,71.29,69.96,68.59,69.11,68.86,66.2,64.72,60.96,59.67,56.9,54.92,
adh,99.3,99.3,99.3,99.42,99.42,99.38,99.4,99.24,99.18,99.29,99.14,99.13,99.24,99.09,98.85,98.96,98.72,98.86,98.82,98.78,98.8,97.76,98.58,
aat,81.8,79.05,80.98,80.15,80.26,81.73,81.09,80.15,80.39,79.55,79.9,80.27,78.89,79.33,78.87,78.53,79.17,77.65,77.89,75.71,74.28,72.05,71.49,
rrm,83.36,81.13,81.55,79.84,80.79,78.37,77.29,76.62,76.24,74.25,74.03,74.46,72.89,71.39,70.24,65.99,69.94,64.63,62.98,55.47,54.25,48.37,43.19,
Acetyltransf,68.7,62.22,59.68,59.06,60,58.67,56.64,57.36,55.94,52.61,51.71,51.23,48.66,49.78,49.44,51.94,49.75,44.53,44.26,42.55,43.9,42.68,33.98,
sdr,74.41,73.22,72.78,73.41,74.09,71.44,69.31,65.52,67.2,62.73,64.01,63.28,62.07,61.27,60.22,59.79,60.47,57.13,55.38,51.01,49.61,46.54,44.29,39.34
zf-CCHH,89.23,88.58,88.19,87.51,87.5,86.26,85.69,84.47,83.07,81.06,81.29,82.22,82.44,82.92,82.42,84.04,84.46,82.03,82.48,80.01,79.88,76.52,72.61,65.49
rvp,88.2,87.1,87.4,87.32,86.26,88.23,86.46,84.24,85.78,84.53,82.99,80.03,80.7,82.18,79.99,79.27,79.49,80.14,76.94,73.06,73.68,74.35,75.72,67.21
